0	323.764
1	323.764
2	323.766
3	323.768
4	323.77
5	323.773
6	323.777
7	323.781
8	323.785
9	323.789
10	323.794
11	323.799
12	323.804
13	323.81
14	323.815
15	323.821
16	323.827
17	323.832
18	323.838
19	323.845
20	323.851
21	323.857
22	323.863
23	323.869
24	323.876
25	323.882
26	323.888
27	323.895
28	323.901
29	323.908
30	323.914
31	323.921
32	323.927
33	323.934
34	323.94
35	323.947
36	323.953
37	323.96
38	323.966
39	323.973
40	323.979
41	323.986
42	323.992
43	323.999
44	324.005
45	324.012
46	324.018
47	324.025
48	324.031
49	324.038
50	324.044
51	324.051
52	324.058
53	324.064
54	324.071
55	324.077
56	324.084
57	324.09
58	324.097
59	324.103
60	324.11
61	324.117
62	324.123
63	324.13
64	324.136
65	324.143
66	324.15
67	324.156
68	324.163
69	324.17
70	324.177
71	324.183
72	324.19
73	324.197
74	324.204
75	324.211
76	324.217
77	324.224
78	324.231
79	324.238
80	324.245
81	324.252
82	324.259
83	324.267
84	324.274
85	324.281
86	324.288
87	324.295
88	324.303
89	324.31
90	324.318
91	324.325
92	324.332
93	324.34
94	324.348
95	324.355
96	324.363
97	324.371
98	324.379
99	324.387
100	324.395
101	324.403
102	324.411
103	324.419
104	324.427
105	324.436
106	324.444
107	324.453
108	324.461
109	324.47
110	324.479
111	324.488
112	324.497
113	324.506
114	324.516
115	324.525
116	324.534
117	324.544
118	324.554
119	324.564
120	324.574
121	324.584
122	324.595
123	324.605
124	324.616
125	324.627
126	324.638
127	324.649
128	324.661
129	324.673
130	324.684
131	324.697
132	324.709
133	324.722
134	324.734
135	324.747
136	324.761
137	324.774
138	324.788
139	324.802
140	324.817
141	324.831
142	324.846
143	324.861
144	324.877
145	324.892
146	324.908
147	324.924
148	324.94
149	324.956
150	324.973
151	324.989
152	325.005
153	325.022
154	325.038
155	325.055
156	325.071
157	325.087
158	325.103
159	325.12
160	325.137
161	325.153
162	325.17
163	325.187
164	325.204
165	325.22
166	325.237
167	325.254
168	325.27
169	325.286
170	325.303
171	325.319
172	325.335
173	325.35
174	325.366
175	325.382
176	325.397
177	325.412
178	325.427
179	325.443
180	325.458
181	325.473
182	325.488
183	325.503
184	325.518
185	325.533
186	325.548
187	325.563
188	325.578
189	325.594
190	325.61
191	325.626
192	325.642
193	325.659
